"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","141.15","140.80","141.48","140.13","28.18M","0.13%"
"12/29/2022","140.96","139.50","141.65","139.22","32.06M","1.04%"
"12/28/2022","139.51","139.73","140.40","138.60","28.05M","-0.28%"
"12/27/2022","139.90","141.31","142.00","139.60","41.65M","-0.74%"
"12/26/2022","140.95","138.33","141.00","138.00","49.38M","2.18%"
"12/23/2022","137.94","137.49","138.26","136.81","22.91M","0.18%"
"12/22/2022","137.69","137.99","138.97","137.00","30.56M","-0.04%"
"12/21/2022","137.75","138.70","139.12","135.81","45.54M","-0.38%"
"12/20/2022","138.28","134.51","138.40","134.41","45.02M","2.70%"
"12/19/2022","134.64","135.13","136.73","132.86","58.83M","-0.60%"
"12/16/2022","135.45","134.50","136.09","134.13","32.80M","0.67%"
"12/15/2022","134.55","136.99","137.08","134.30","54.79M","-2.00%"
"12/14/2022","137.30","138.28","138.28","136.60","34.07M","-0.60%"
"12/13/2022","138.13","139.67","139.93","136.67","52.20M","-0.97%"
"12/12/2022","139.48","140.19","140.87","138.70","33.48M","-0.39%"
"12/09/2022","140.03","139.70","140.70","139.24","29.44M","0.08%"
"12/08/2022","139.92","143.50","143.60","139.80","64.06M","-1.69%"
"12/07/2022","142.32","140.50","142.81","138.36","69.89M","1.22%"
"12/06/2022","140.61","142.20","143.37","139.11","51.82M","-0.98%"
"12/05/2022","142.00","136.66","142.68","136.25","103.93M","3.91%"
"12/02/2022","136.66","136.99","137.10","136.17","19.26M","-0.36%"
"12/01/2022","137.15","137.10","137.95","136.31","33.06M","0.27%"
"11/30/2022","136.78","136.50","136.78","135.23","26.82M","0.30%"
"11/29/2022","136.37","136.29","137.20","135.88","31.65M","0.62%"
"11/28/2022","135.53","135.02","136.20","134.10","45.28M","-0.73%"
"11/25/2022","136.53","137.20","137.24","135.41","29.62M","-0.06%"
"11/24/2022","136.61","137.00","138.41","136.12","42.39M","0.01%"
"11/23/2022","136.59","135.70","137.55","134.50","52.30M","0.69%"
"11/22/2022","135.65","134.55","136.00","133.81","45.82M","0.89%"
"11/21/2022","134.46","136.01","136.30","132.51","83.60M","-1.78%"
"11/18/2022","136.89","137.08","137.81","135.84","44.08M","-0.49%"
"11/17/2022","137.57","139.09","140.35","136.60","59.16M","-1.16%"
"11/16/2022","139.18","136.99","139.73","136.32","67.09M","2.59%"
"11/15/2022","135.66","140.49","141.00","130.86","145.54M","-2.96%"
"11/14/2022","139.80","137.50","140.70","135.83","82.52M","2.06%"
"11/11/2022","136.98","137.90","138.42","135.13","75.71M","0.22%"
"11/10/2022","136.68","131.00","136.69","129.77","171.75M","7.37%"
"11/09/2022","127.30","131.06","131.47","126.42","64.96M","-3.04%"
"11/08/2022","131.29","132.00","133.11","130.10","69.56M","-0.54%"
"11/07/2022","132.00","127.09","132.00","126.50","91.71M","4.97%"
"11/03/2022","125.75","125.40","126.10","123.91","47.72M","0.21%"
"11/02/2022","125.49","127.06","127.74","123.75","40.22M","-1.23%"
"11/01/2022","127.05","127.20","127.97","126.12","36.82M","0.26%"
"10/31/2022","126.72","127.20","128.60","125.41","60.76M","-0.20%"
"10/28/2022","126.97","126.14","127.25","124.60","73.66M","0.28%"
"10/27/2022","126.61","124.75","127.50","123.68","87.92M","1.75%"
"10/26/2022","124.43","124.70","126.88","122.10","108.50M","0.06%"
"10/25/2022","124.36","118.84","125.20","118.30","114.16M","4.68%"
"10/24/2022","118.80","120.15","121.68","117.65","74.54M","-0.54%"
"10/21/2022","119.45","116.93","119.94","114.37","102.38M","2.11%"
"10/20/2022","116.98","112.75","117.20","112.37","100.72M","4.08%"
"10/19/2022","112.39","110.12","112.93","109.30","90.69M","1.36%"
"10/18/2022","110.88","113.05","114.37","110.48","101.85M","-1.39%"
"10/17/2022","112.44","107.93","112.76","107.65","78.50M","4.32%"
"10/14/2022","107.78","106.92","109.19","105.69","52.57M","1.20%"
"10/13/2022","106.50","105.72","107.30","104.80","46.85M","0.57%"
"10/12/2022","105.90","108.27","108.50","105.25","63.38M","-1.69%"
"10/11/2022","107.72","106.50","108.30","104.26","76.96M","0.95%"
"10/10/2022","106.71","96.55","106.77","96.50","117.47M","5.13%"
"10/07/2022","101.50","107.70","108.48","101.30","90.99M","-6.23%"
"10/06/2022","108.24","108.65","110.38","107.57","51.74M","-0.25%"
"10/05/2022","108.51","110.49","110.49","106.25","90.42M","-1.85%"
"10/04/2022","110.55","115.06","115.50","110.30","83.56M","-3.32%"
"10/03/2022","114.35","110.62","114.65","109.00","73.96M","3.76%"
"09/30/2022","110.21","111.00","113.40","103.40","133.57M","-0.18%"
"09/29/2022","110.41","111.59","112.20","107.68","67.49M","-0.59%"
"09/28/2022","111.06","112.00","115.20","109.13","77.97M","-1.65%"
"09/27/2022","112.92","110.00","113.89","107.07","90.98M","5.47%"
"09/26/2022","107.06","114.00","117.99","105.00","148.64M","-10.33%"
"09/23/2022","119.39","124.49","124.50","117.35","85.91M","-3.96%"
"09/22/2022","124.31","120.25","126.95","120.25","117.48M","3.39%"
"09/21/2022","120.23","112.50","123.98","109.27","136.63M","-3.89%"
"09/20/2022","125.10","137.87","138.35","122.42","208.95M","-9.37%"
"09/19/2022","138.04","137.40","139.08","137.07","33.27M","0.23%"
"09/16/2022","137.73","139.37","141.39","136.80","71.80M","-1.25%"
"09/15/2022","139.48","139.15","140.28","137.61","56.24M","0.42%"
"09/14/2022","138.90","136.60","139.29","135.20","62.84M","1.39%"
"09/13/2022","137.00","138.70","139.37","136.15","44.58M","-1.23%"
"09/12/2022","138.70","137.07","140.37","136.80","52.61M","0.40%"
"09/09/2022","138.15","134.41","138.47","134.23","49.12M","2.71%"
